Day,MAE,RMSE,MAPE,R2
1,38.33172516738839,40.57989187810197,16.742166278308872,-4.486553325042344
2,50.217806639480294,52.24797740327071,22.01448190900814,-8.015995594414248
3,48.046255312513495,50.17197924771842,21.02913597186503,-7.1799300783751505
4,49.11752863803136,51.28067683323374,21.48332401973158,-7.408707055625376
5,50.075005400400116,52.27393333841697,21.887206607488295,-7.630755621337073
6,51.0725912524412,53.30415348427161,22.308152930876734,-7.860333370052558
7,51.96159040520591,54.221175835188426,22.68093275907834,-8.028567831124308
8,52.76870389776874,55.06889012167119,23.01315154673048,-8.12754701900692
9,53.45420947827847,55.79604269820123,23.290950478660772,-8.187307860596412
10,54.06199818103385,56.44372499678009,23.53173175873804,-8.226387492704808
11,54.58818012298947,57.01481128035906,23.734981877926177,-8.228536307306586
12,55.02730356962504,57.499464562507896,23.901313045385947,-8.209020103711577
13,55.37739733501847,57.89506574320307,24.03192215570111,-8.171138747878619
14,55.69029698673519,58.25483473918778,24.1451367433806,-8.117735589497821
15,55.97608136407082,58.586063567705736,24.245717924417082,-8.058599038707946
16,56.23109227659661,58.88463375158392,24.33338888059203,-7.995772426499286
17,56.46440635576303,59.156889547571,24.412154936586646,-7.937698469575928
18,56.68161458725492,59.41517152981481,24.4834032348622,-7.870311737470292
19,56.905508771142806,59.693335453273946,24.55340330646903,-7.771670223985382
20,57.094081914213376,59.931295796084115,24.611329613879803,-7.680800839250059
21,57.29756325552231,60.17903220187499,24.673807177457896,-7.599780475324149
22,57.48984468027105,60.412955074881424,24.732084383621142,-7.522340080560792
23,57.662081009138085,60.61484737915466,24.78475563648227,-7.469149625157959
24,57.82615413627359,60.80741601699435,24.834418811406454,-7.415460913396268
25,58.008919621387896,61.01730454532492,24.88985239629966,-7.366380199093564
26,58.16631109134172,61.19966685462172,24.937044590000664,-7.3210961516001145
27,58.32673951427044,61.397836498764974,24.98306910528699,-7.253700320508003
28,58.5026871107492,61.62241611515032,25.03222296993754,-7.171215936570309
29,58.686520200820496,61.8571011528992,25.083352110977174,-7.089608246119285
30,58.85785909233126,62.082516092080304,25.129811204583262,-7.006044286987457
